allocation,,num_perm,,robot,,permutation
Allocation12,,12,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_6']"
Allocation12,,13,,r1,,"['r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation12,,13,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,14,,r1,,"['r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation12,,14,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation12,,15,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_8']"
Allocation12,,15,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation12,,16,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_4']"
Allocation12,,16,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,17,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_4']"
Allocation12,,17,,r2,,"['r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation12,,18,,r1,,"['r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_11']"
Allocation12,,18,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation12,,19,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation12,,19,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation13,,0,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation13,,0,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation13,,1,,r1,,"['r1_at4_notify_3', 'r1_at3_sanit_8', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation13,,1,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,2,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation13,,2,,r2,,"['r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation13,,3,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation13,,3,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,4,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation13,,4,,r2,,"['r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation13,,5,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation13,,5,,r2,,"['r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at2_floor_1']"
Allocation13,,6,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_7']"
Allocation13,,6,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation13,,7,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation13,,7,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,8,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation13,,8,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,9,,r1,,"['r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_11']"
Allocation13,,9,,r2,,"['r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_6']"
Allocation13,,10,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at3_sanit_5']"
Allocation13,,10,,r2,,"['r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_6']"
Allocation13,,11,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_4']"
Allocation13,,11,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation13,,12,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at4_notify_3', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at2_floor_7']"
Allocation13,,12,,r2,,"['r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at2_floor_1']"
Allocation13,,13,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at4_notify_3', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation13,,13,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,14,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation13,,14,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,15,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation13,,15,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation13,,16,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation13,,16,,r2,,"['r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_6']"
Allocation13,,17,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at3_sanit_11']"
Allocation13,,17,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation13,,18,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation13,,18,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation13,,19,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation13,,19,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,0,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at4_notify_3', 'r1_at3_sanit_8', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation14,,0,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,1,,r1,,"['r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation14,,1,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at2_floor_1']"
Allocation14,,2,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8']"
Allocation14,,2,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,3,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4']"
Allocation14,,3,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,4,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation14,,4,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,5,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_11']"
Allocation14,,5,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,6,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at3_sanit_11']"
Allocation14,,6,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,7,,r1,,"['r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation14,,7,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at2_floor_1']"
Allocation14,,8,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation14,,8,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,9,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at2_floor_4']"
Allocation14,,9,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,10,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation14,,10,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,11,,r1,,"['r1_at3_sanit_8', 'r1_at4_notify_3', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at2_floor_10']"
Allocation14,,11,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,12,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at3_sanit_11']"
Allocation14,,12,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,13,,r1,,"['r1_at3_sanit_8', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_4']"
Allocation14,,13,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,14,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation14,,14,,r2,,"['r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_6']"
Allocation14,,15,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4']"
Allocation14,,15,,r2,,"['r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_6']"
Allocation14,,16,,r1,,"['r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation14,,16,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,17,,r1,,"['r1_at4_notify_3', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at3_sanit_11']"
Allocation14,,17,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation14,,18,,r1,,"['r1_at4_notify_3', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_10']"
Allocation14,,18,,r2,,"['r2_at4_notify_0', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation14,,19,,r1,,"['r1_at4_notify_3', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation14,,19,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_0', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,0,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation15,,0,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,1,,r1,,"['r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation15,,1,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,2,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at3_sanit_5', 'r1_at2_floor_4']"
Allocation15,,2,,r2,,"['r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation15,,3,,r1,,"['r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation15,,3,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,4,,r1,,"['r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at2_floor_7', 'r1_at3_sanit_8']"
Allocation15,,4,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,5,,r1,,"['r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation15,,5,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_3']"
Allocation15,,6,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at2_floor_4', 'r1_at3_sanit_8']"
Allocation15,,6,,r2,,"['r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at4_notify_6']"
Allocation15,,7,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation15,,7,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,8,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_5']"
Allocation15,,8,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,9,,r1,,"['r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation15,,9,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,10,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_0', 'r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation15,,10,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,11,,r1,,"['r1_at4_notify_9', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_7']"
Allocation15,,11,,r2,,"['r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at4_notify_3', 'r2_at2_floor_1']"
Allocation15,,12,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at2_floor_10', 'r1_at3_sanit_8']"
Allocation15,,12,,r2,,"['r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_6']"
Allocation15,,13,,r1,,"['r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation15,,13,,r2,,"['r2_at3_sanit_2', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at4_notify_3']"
Allocation15,,14,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation15,,14,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,15,,r1,,"['r1_at3_sanit_8', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at3_sanit_5', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_10']"
Allocation15,,15,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,16,,r1,,"['r1_at4_notify_9', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_4', 'r1_at3_sanit_8', 'r1_at2_floor_10', 'r1_at3_sanit_5', 'r1_at4_notify_0']"
Allocation15,,16,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,17,,r1,,"['r1_at4_notify_0', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_10']"
Allocation15,,17,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at3_sanit_2', 'r2_at2_floor_1']"
Allocation15,,18,,r1,,"['r1_at4_notify_9', 'r1_at4_notify_0', 'r1_at3_sanit_5', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation15,,18,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation15,,19,,r1,,"['r1_at4_notify_0', 'r1_at3_sanit_8', 'r1_at2_floor_7', 'r1_at4_notify_9', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at2_floor_10', 'r1_at3_sanit_11']"
Allocation15,,19,,r2,,"['r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at4_notify_3', 'r2_at3_sanit_2']"
Allocation16,,0,,r1,,"['r1_at4_notify_0', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_4']"
Allocation16,,0,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_9', 'r2_at2_floor_1', 'r2_at4_notify_6', 'r2_at3_sanit_2']"
Allocation16,,1,,r1,,"['r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at4_notify_0', 'r1_at2_floor_7', 'r1_at3_sanit_8', 'r1_at2_floor_4', 'r1_at3_sanit_5']"
Allocation16,,1,,r2,,"['r2_at4_notify_6', 'r2_at4_notify_9', 'r2_at4_notify_3', 'r2_at2_floor_1', 'r2_at3_sanit_2']"
Allocation16,,2,,r1,,"['r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at3_sanit_11', 'r1_at2_floor_7', 'r1_at2_floor_10']"
Allocation16,,2,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_9']"
Allocation16,,3,,r1,,"['r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at2_floor_10', 'r1_at3_sanit_11', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation16,,3,,r2,,"['r2_at4_notify_3', 'r2_at4_notify_9', 'r2_at3_sanit_2', 'r2_at4_notify_6', 'r2_at2_floor_1']"
Allocation16,,4,,r1,,"['r1_at3_sanit_11', 'r1_at2_floor_10', 'r1_at4_notify_0', 'r1_at2_floor_4', 'r1_at3_sanit_5', 'r1_at3_sanit_8', 'r1_at2_floor_7']"
Allocation16,,4,,r2,,"['r2_at4_notify_9', 'r2_at4_notify_6', 'r2_at2_floor_1', 'r2_at3_sanit_2', 'r2_at4_notify_3']"
